key,keydown_time,keyup_time
shift,2021-04-11 13:49:56.700381+00:00,2021-04-11 13:49:56.997706+00:00
left,2021-04-11 13:49:58.528829+00:00,2021-04-11 13:49:58.616519+00:00
backspace,2021-04-11 13:49:58.902690+00:00,2021-04-11 13:49:58.990029+00:00
backspace,2021-04-11 13:49:59.062620+00:00,2021-04-11 13:49:59.128233+00:00
backspace,2021-04-11 13:49:59.199842+00:00,2021-04-11 13:49:59.264822+00:00
backspace,2021-04-11 13:49:59.335890+00:00,2021-04-11 13:49:59.400919+00:00
backspace,2021-04-11 13:49:59.485449+00:00,2021-04-11 13:49:59.548348+00:00
backspace,2021-04-11 13:49:59.634361+00:00,2021-04-11 13:49:59.700838+00:00
backspace,2021-04-11 13:49:59.804806+00:00,2021-04-11 13:49:59.868954+00:00
backspace,2021-04-11 13:49:59.930266+00:00,2021-04-11 13:50:00.018053+00:00
t,2021-04-11 13:50:00.543042+00:00,2021-04-11 13:50:00.649969+00:00
e,2021-04-11 13:50:00.811404+00:00,2021-04-11 13:50:00.919263+00:00
m,2021-04-11 13:50:00.988079+00:00,2021-04-11 13:50:01.097852+00:00
p,2021-04-11 13:50:01.623260+00:00,2021-04-11 13:50:01.709266+00:00
u,2021-04-11 13:50:02.105883+00:00,2021-04-11 13:50:02.189826+00:00
r,2021-04-11 13:50:02.289930+00:00,2021-04-11 13:50:02.395315+00:00
a,2021-04-11 13:50:02.495980+00:00,2021-04-11 13:50:02.604893+00:00
t,2021-04-11 13:50:02.764416+00:00,2021-04-11 13:50:02.848943+00:00
y,2021-04-11 13:50:02.938382+00:00,2021-04-11 13:50:03.023827+00:00
shift,2021-04-11 13:50:19.951909+00:00,2021-04-11 13:50:20.326471+00:00
e,2021-04-11 13:50:20.414215+00:00,2021-04-11 13:50:20.524440+00:00
x,2021-04-11 13:50:20.730410+00:00,2021-04-11 13:50:20.833945+00:00
t,2021-04-11 13:50:21.047460+00:00,2021-04-11 13:50:21.090983+00:00
shift,2021-04-11 13:50:21.649304+00:00,2021-04-11 13:50:21.889998+00:00
o,2021-04-11 13:50:21.942212+00:00,2021-04-11 13:50:22.026513+00:00
backspace,2021-04-11 13:50:23.030211+00:00,2021-04-11 13:50:23.115102+00:00
backspace,2021-04-11 13:50:23.186234+00:00,2021-04-11 13:50:23.274459+00:00
l,2021-04-11 13:50:23.728305+00:00,2021-04-11 13:50:23.793561+00:00
o,2021-04-11 13:50:23.866827+00:00,2021-04-11 13:50:23.954050+00:00
g,2021-04-11 13:50:24.162396+00:00,2021-04-11 13:50:24.224829+00:00
g,2021-04-11 13:50:24.295253+00:00,2021-04-11 13:50:24.361503+00:00
e,2021-04-11 13:50:24.394073+00:00,2021-04-11 13:50:24.547518+00:00
r,2021-04-11 13:50:24.481793+00:00,2021-04-11 13:50:24.592564+00:00
left,2021-04-11 13:50:25.957809+00:00,2021-04-11 13:50:26.020943+00:00
left,2021-04-11 13:50:26.106721+00:00,2021-04-11 13:50:26.172761+00:00
left,2021-04-11 13:50:26.241151+00:00,2021-04-11 13:50:26.307595+00:00
left,2021-04-11 13:50:26.394539+00:00,2021-04-11 13:50:26.479929+00:00
left,2021-04-11 13:50:26.801843+00:00,2021-04-11 13:50:26.889458+00:00
left,2021-04-11 13:50:26.971824+00:00,2021-04-11 13:50:27.037267+00:00
