Time,Score
2021-04-12 14:05:16.954213+00:00,Low
2021-04-12 14:05:27.019312+00:00,Medium
2021-04-12 14:05:33.372228+00:00,High
2021-04-12 14:05:38.240093+00:00,Low
2021-04-12 14:05:45.436826+00:00,High
